location,origin_date,target_date,output_type_id,value,output_type,target
Fresno,2024-09-30,2024-11-30,200,1.0,cdf,WNV cases
Riverside,2024-09-30,2024-11-30,0,0.66196,cdf,WNV cases
Riverside,2024-09-30,2024-11-30,1,0.81779,cdf,WNV cases
Riverside,2024-09-30,2024-11-30,2,0.87955,cdf,WNV cases
Riverside,2024-09-30,2024-11-30,3,0.92746,cdf,WNV cases
Riverside,2024-09-30,2024-11-30,4,0.94634,cdf,WNV cases
Riverside,2024-09-30,2024-11-30,5,0.96467,cdf,WNV cases
Riverside,2024-09-30,2024-11-30,6,0.97288,cdf,WNV cases
Riverside,2024-09-30,2024-11-30,8,0.98538,cdf,WNV cases
Riverside,2024-09-30,2024-11-30,10,0.99188,cdf,WNV cases
Riverside,2024-09-30,2024-11-30,15,0.99785,cdf,WNV cases
Riverside,2024-09-30,2024-11-30,200,1.0,cdf,WNV cases
San Joaquin,2024-09-30,2024-11-30,0,0.76083,cdf,WNV cases
San Joaquin,2024-09-30,2024-11-30,1,0.76083,cdf,WNV cases
San Joaquin,2024-09-30,2024-11-30,2,0.86373,cdf,WNV cases
San Joaquin,2024-09-30,2024-11-30,3,0.91175,cdf,WNV cases
San Joaquin,2024-09-30,2024-11-30,4,0.93959,cdf,WNV cases
San Joaquin,2024-09-30,2024-11-30,5,0.93959,cdf,WNV cases
San Joaquin,2024-09-30,2024-11-30,6,0.95742,cdf,WNV cases
San Joaquin,2024-09-30,2024-11-30,8,0.97753,cdf,WNV cases
San Joaquin,2024-09-30,2024-11-30,10,0.98341,cdf,WNV cases
San Joaquin,2024-09-30,2024-11-30,15,0.99467,cdf,WNV cases
San Joaquin,2024-09-30,2024-11-30,200,1.0,cdf,WNV cases
San Bernardino,2024-09-30,2024-11-30,0,0.67379,cdf,WNV cases
San Bernardino,2024-09-30,2024-11-30,1,0.82979,cdf,WNV cases
San Bernardino,2024-09-30,2024-11-30,2,0.89048,cdf,WNV cases
San Bernardino,2024-09-30,2024-11-30,3,0.92464,cdf,WNV cases
San Bernardino,2024-09-30,2024-11-30,4,0.94616,cdf,WNV cases
San Bernardino,2024-09-30,2024-11-30,5,0.96063,cdf,WNV cases
San Bernardino,2024-09-30,2024-11-30,6,0.97467,cdf,WNV cases
San Bernardino,2024-09-30,2024-11-30,8,0.9854,cdf,WNV cases
San Bernardino,2024-09-30,2024-11-30,10,0.99133,cdf,WNV cases
San Bernardino,2024-09-30,2024-11-30,15,0.99776,cdf,WNV cases
San Bernardino,2024-09-30,2024-11-30,200,1.0,cdf,WNV cases
Stanislaus,2024-09-30,2024-11-30,0,0.81469,cdf,WNV cases
Stanislaus,2024-09-30,2024-11-30,1,0.81469,cdf,WNV cases
Stanislaus,2024-09-30,2024-11-30,2,0.91124,cdf,WNV cases
Stanislaus,2024-09-30,2024-11-30,3,0.91124,cdf,WNV cases
Stanislaus,2024-09-30,2024-11-30,4,0.95082,cdf,WNV cases
Stanislaus,2024-09-30,2024-11-30,5,0.95082,cdf,WNV cases
Stanislaus,2024-09-30,2024-11-30,6,0.97101,cdf,WNV cases
Stanislaus,2024-09-30,2024-11-30,8,0.98226,cdf,WNV cases
Stanislaus,2024-09-30,2024-11-30,10,0.98889,cdf,WNV cases
Stanislaus,2024-09-30,2024-11-30,15,0.99701,cdf,WNV cases
Stanislaus,2024-09-30,2024-11-30,200,1.0,cdf,WNV cases
Solano,2024-09-30,2024-11-30,0,0.81776,cdf,WNV cases
Solano,2024-09-30,2024-11-30,1,0.81776,cdf,WNV cases
Solano,2024-09-30,2024-11-30,2,0.81776,cdf,WNV cases
Solano,2024-09-30,2024-11-30,3,0.91363,cdf,WNV cases
Solano,2024-09-30,2024-11-30,4,0.91363,cdf,WNV cases
Solano,2024-09-30,2024-11-30,5,0.95252,cdf,WNV cases
Solano,2024-09-30,2024-11-30,6,0.95252,cdf,WNV cases
Solano,2024-09-30,2024-11-30,8,0.97232,cdf,WNV cases
Solano,2024-09-30,2024-11-30,10,0.98323,cdf,WNV cases
Solano,2024-09-30,2024-11-30,15,0.99347,cdf,WNV cases
Solano,2024-09-30,2024-11-30,200,1.0,cdf,WNV cases
Kern,2024-09-30,2024-11-30,0,0.74614,cdf,WNV cases
Kern,2024-09-30,2024-11-30,1,0.74614,cdf,WNV cases
Kern,2024-09-30,2024-11-30,2,0.84942,cdf,WNV cases
Kern,2024-09-30,2024-11-30,3,0.89914,cdf,WNV cases
Kern,2024-09-30,2024-11-30,4,0.92885,cdf,WNV cases
Kern,2024-09-30,2024-11-30,5,0.94829,cdf,WNV cases
Kern,2024-09-30,2024-11-30,6,0.96163,cdf,WNV cases
Kern,2024-09-30,2024-11-30,8,0.97801,cdf,WNV cases
